
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[18225/51350] processed, ingested=4585, skipped=111, already_present=13529
[18250/51350] processed, ingested=4610, skipped=111, already_present=13529
[18275/51350] processed, ingested=4635, skipped=111, already_present=13529
[18300/51350] processed, ingested=4658, skipped=113, already_present=13529
[18325/51350] processed, ingested=4681, skipped=115, already_present=13529
[18350/51350] processed, ingested=4706, skipped=115, already_present=13529
[18375/51350] processed, ingested=4731, skipped=115, already_present=13529
[18400/51350] processed, ingested=4754, skipped=117, already_present=13529
[18425/51350] processed, ingested=4778, skipped=117, already_present=13530
[18450/51350] processed, ingested=4803, skipped=117, already_present=13530
[18475/51350] processed, ingested=4828, skipped=117, already_present=13530
[18500/51350] processed, ingested=4851, skipped=117, already_present=13532
[18525/51350] processed, ingested=4876, skipped=117, already_present=13532
[18550/51350] processed, ingested=4901, skipped=117, already_present=13532
[18575/51350] processed, ingested=4926, skipped=117, already_present=13532
[18600/51350] processed, ingested=4950, skipped=118, already_present=13532
[18625/51350] processed, ingested=4975, skipped=118, already_present=13532
[18650/51350] processed, ingested=5000, skipped=118, already_present=13532
[18675/51350] processed, ingested=5025, skipped=118, already_present=13532
[18700/51350] processed, ingested=5049, skipped=119, already_present=13532
[18725/51350] processed, ingested=5074, skipped=119, already_present=13532
[18750/51350] processed, ingested=5099, skipped=119, already_present=13532
[18775/51350] processed, ingested=5124, skipped=119, already_present=13532
[18800/51350] processed, ingested=5148, skipped=120, already_present=13532
[18825/51350] processed, ingested=5173, skipped=120, already_present=13532
[18850/51350] processed, ingested=5198, skipped=120, already_present=13532
[18875/51350] processed, ingested=5223, skipped=120, already_present=13532
[18900/51350] processed, ingested=5247, skipped=120, already_present=13533
[18925/51350] processed, ingested=5272, skipped=120, already_present=13533
[18950/51350] processed, ingested=5297, skipped=120, already_present=13533
[18975/51350] processed, ingested=5321, skipped=120, already_present=13534
[19000/51350] processed, ingested=5346, skipped=120, already_present=13534
[19025/51350] processed, ingested=5370, skipped=120, already_present=13535
[19050/51350] processed, ingested=5395, skipped=120, already_present=13535
[19075/51350] processed, ingested=5419, skipped=120, already_present=13536
[19100/51350] processed, ingested=5444, skipped=120, already_present=13536
[19125/51350] processed, ingested=5469, skipped=120, already_present=13536
[19150/51350] processed, ingested=5494, skipped=120, already_present=13536
[19175/51350] processed, ingested=5519, skipped=120, already_present=13536
[19200/51350] processed, ingested=5544, skipped=120, already_present=13536
[19225/51350] processed, ingested=5568, skipped=120, already_present=13537
[19250/51350] processed, ingested=5593, skipped=120, already_present=13537
[19275/51350] processed, ingested=5616, skipped=120, already_present=13539
[19300/51350] processed, ingested=5640, skipped=120, already_present=13540
[19325/51350] processed, ingested=5664, skipped=120, already_present=13541
[19350/51350] processed, ingested=5689, skipped=120, already_present=13541
[19375/51350] processed, ingested=5714, skipped=120, already_present=13541
[19400/51350] processed, ingested=5739, skipped=120, already_present=13541
[19425/51350] processed, ingested=5764, skipped=120, already_present=13541
[19450/51350] processed, ingested=5789, skipped=120, already_present=13541
[19475/51350] processed, ingested=5814, skipped=120, already_present=13541
[19500/51350] processed, ingested=5839, skipped=120, already_present=13541
[19525/51350] processed, ingested=5863, skipped=121, already_present=13541
[19550/51350] processed, ingested=5888, skipped=121, already_present=13541
[19575/51350] processed, ingested=5913, skipped=121, already_present=13541
[19600/51350] processed, ingested=5938, skipped=121, already_present=13541
[19625/51350] processed, ingested=5963, skipped=121, already_present=13541
[19650/51350] processed, ingested=5988, skipped=121, already_present=13541
[19675/51350] processed, ingested=6013, skipped=121, already_present=13541
[19700/51350] processed, ingested=6038, skipped=121, already_present=13541
[19725/51350] processed, ingested=6063, skipped=121, already_present=13541
[19750/51350] processed, ingested=6088, skipped=121, already_present=13541
[19775/51350] processed, ingested=6113, skipped=121, already_present=13541
[19800/51350] processed, ingested=6138, skipped=121, already_present=13541
[19825/51350] processed, ingested=6163, skipped=121, already_present=13541
[19850/51350] processed, ingested=6188, skipped=121, already_present=13541
[19875/51350] processed, ingested=6211, skipped=121, already_present=13543
[19900/51350] processed, ingested=6236, skipped=121, already_present=13543
[19925/51350] processed, ingested=6261, skipped=121, already_present=13543
[19950/51350] processed, ingested=6286, skipped=121, already_present=13543
[19975/51350] processed, ingested=6311, skipped=121, already_present=13543
[20000/51350] processed, ingested=6336, skipped=121, already_present=13543
[20025/51350] processed, ingested=6361, skipped=121, already_present=13543
[20050/51350] processed, ingested=6385, skipped=122, already_present=13543
[20075/51350] processed, ingested=6408, skipped=124, already_present=13543
[20100/51350] processed, ingested=6433, skipped=124, already_present=13543
[20125/51350] processed, ingested=6457, skipped=125, already_present=13543
[20150/51350] processed, ingested=6482, skipped=125, already_present=13543
[20175/51350] processed, ingested=6507, skipped=125, already_present=13543
[20200/51350] processed, ingested=6530, skipped=126, already_present=13544
[20225/51350] processed, ingested=6555, skipped=126, already_present=13544
[20250/51350] processed, ingested=6580, skipped=126, already_present=13544
[20275/51350] processed, ingested=6605, skipped=126, already_present=13544
[20300/51350] processed, ingested=6630, skipped=126, already_present=13544
[20325/51350] processed, ingested=6655, skipped=126, already_present=13544
[20350/51350] processed, ingested=6680, skipped=126, already_present=13544
[20375/51350] processed, ingested=6705, skipped=126, already_present=13544
[20400/51350] processed, ingested=6730, skipped=126, already_present=13544
[20425/51350] processed, ingested=6755, skipped=126, already_present=13544
[20450/51350] processed, ingested=6780, skipped=126, already_present=13544
[20475/51350] processed, ingested=6805, skipped=126, already_present=13544
[20500/51350] processed, ingested=6830, skipped=126, already_present=13544
[20525/51350] processed, ingested=6855, skipped=126, already_present=13544
[20550/51350] processed, ingested=6880, skipped=126, already_present=13544
[20575/51350] processed, ingested=6905, skipped=126, already_present=13544
[20600/51350] processed, ingested=6930, skipped=126, already_present=13544
[20625/51350] processed, ingested=6953, skipped=126, already_present=13546
[20650/51350] processed, ingested=6978, skipped=126, already_present=13546
[20675/51350] processed, ingested=7003, skipped=126, already_present=13546
[20700/51350] processed, ingested=7028, skipped=126, already_present=13546
[20725/51350] processed, ingested=7051, skipped=126, already_present=13548
[20750/51350] processed, ingested=7076, skipped=126, already_present=13548
[20775/51350] processed, ingested=7101, skipped=126, already_present=13548
[20800/51350] processed, ingested=7124, skipped=127, already_present=13549
[20825/51350] processed, ingested=7149, skipped=127, already_present=13549
[20850/51350] processed, ingested=7173, skipped=128, already_present=13549
[20875/51350] processed, ingested=7198, skipped=128, already_present=13549
[20900/51350] processed, ingested=7223, skipped=128, already_present=13549
[20925/51350] processed, ingested=7247, skipped=129, already_present=13549
[20950/51350] processed, ingested=7272, skipped=129, already_present=13549
[20975/51350] processed, ingested=7297, skipped=129, already_present=13549
[21000/51350] processed, ingested=7322, skipped=129, already_present=13549
[21025/51350] processed, ingested=7347, skipped=129, already_present=13549
[21050/51350] processed, ingested=7372, skipped=129, already_present=13549
[21075/51350] processed, ingested=7397, skipped=129, already_present=13549
[21100/51350] processed, ingested=7422, skipped=129, already_present=13549
[21125/51350] processed, ingested=7447, skipped=129, already_present=13549
[21150/51350] processed, ingested=7471, skipped=130, already_present=13549
[21175/51350] processed, ingested=7496, skipped=130, already_present=13549
[21200/51350] processed, ingested=7521, skipped=130, already_present=13549
[21225/51350] processed, ingested=7546, skipped=130, already_present=13549
[21250/51350] processed, ingested=7571, skipped=130, already_present=13549
[21275/51350] processed, ingested=7596, skipped=130, already_present=13549
[21300/51350] processed, ingested=7621, skipped=130, already_present=13549
[21325/51350] processed, ingested=7646, skipped=130, already_present=13549
[21350/51350] processed, ingested=7671, skipped=130, already_present=13549
[21375/51350] processed, ingested=7696, skipped=130, already_present=13549
[21400/51350] processed, ingested=7721, skipped=130, already_present=13549
[21425/51350] processed, ingested=7746, skipped=130, already_present=13549
[21450/51350] processed, ingested=7771, skipped=130, already_present=13549
[21475/51350] processed, ingested=7796, skipped=130, already_present=13549
[21500/51350] processed, ingested=7821, skipped=130, already_present=13549
[21525/51350] processed, ingested=7846, skipped=130, already_present=13549
[21550/51350] processed, ingested=7871, skipped=130, already_present=13549
[21575/51350] processed, ingested=7896, skipped=130, already_present=13549
[21600/51350] processed, ingested=7921, skipped=130, already_present=13549
[21625/51350] processed, ingested=7946, skipped=130, already_present=13549
[21650/51350] processed, ingested=7971, skipped=130, already_present=13549
[21675/51350] processed, ingested=7995, skipped=131, already_present=13549
[21700/51350] processed, ingested=8020, skipped=131, already_present=13549
[21725/51350] processed, ingested=8045, skipped=131, already_present=13549
[21750/51350] processed, ingested=8070, skipped=131, already_present=13549
[21775/51350] processed, ingested=8095, skipped=131, already_present=13549
[21800/51350] processed, ingested=8120, skipped=131, already_present=13549
