
> @ansvar/georgian-law-mcp@1.0.0 ingest
> node --import tsx scripts/ingest.ts --mode full-main-normative --resume --skip-english --quiet

Georgian Law MCP -- Real Matsne ingestion
=========================================
Mode: full-main-normative
Resume mode: enabled (existing seed files are reused)
English titles: skipped (--skip-english)

Search-discovered 51350 document IDs; ingesting 51350 documents.

[05150/51350] processed, ingested=4347, skipped=17, already_present=786
[05175/51350] processed, ingested=4372, skipped=17, already_present=786
[05200/51350] processed, ingested=4397, skipped=17, already_present=786
[05225/51350] processed, ingested=4422, skipped=17, already_present=786
[05250/51350] processed, ingested=4447, skipped=17, already_present=786
[05275/51350] processed, ingested=4472, skipped=17, already_present=786
[05300/51350] processed, ingested=4497, skipped=17, already_present=786
[05325/51350] processed, ingested=4522, skipped=17, already_present=786
[05350/51350] processed, ingested=4547, skipped=17, already_present=786
[05375/51350] processed, ingested=4572, skipped=17, already_present=786
[05400/51350] processed, ingested=4597, skipped=17, already_present=786
[05425/51350] processed, ingested=4622, skipped=17, already_present=786
[05450/51350] processed, ingested=4647, skipped=17, already_present=786
[05475/51350] processed, ingested=4672, skipped=17, already_present=786
[05500/51350] processed, ingested=4697, skipped=17, already_present=786
[05525/51350] processed, ingested=4722, skipped=17, already_present=786
[05550/51350] processed, ingested=4747, skipped=17, already_present=786
[05575/51350] processed, ingested=4772, skipped=17, already_present=786
[05600/51350] processed, ingested=4797, skipped=17, already_present=786
[05625/51350] processed, ingested=4822, skipped=17, already_present=786
[05650/51350] processed, ingested=4847, skipped=17, already_present=786
[05675/51350] processed, ingested=4872, skipped=17, already_present=786
[05700/51350] processed, ingested=4897, skipped=17, already_present=786
[05725/51350] processed, ingested=4922, skipped=17, already_present=786
[05750/51350] processed, ingested=4946, skipped=18, already_present=786
[05775/51350] processed, ingested=4971, skipped=18, already_present=786
[05800/51350] processed, ingested=4996, skipped=18, already_present=786
[05825/51350] processed, ingested=5021, skipped=18, already_present=786
[05850/51350] processed, ingested=5046, skipped=18, already_present=786
[05900/51350] processed, ingested=5066, skipped=18, already_present=816
[05925/51350] processed, ingested=5091, skipped=18, already_present=816
[05975/51350] processed, ingested=5127, skipped=18, already_present=830
[06000/51350] processed, ingested=5152, skipped=18, already_present=830
[06025/51350] processed, ingested=5177, skipped=18, already_present=830
[06050/51350] processed, ingested=5202, skipped=18, already_present=830
[06075/51350] processed, ingested=5227, skipped=18, already_present=830
[06100/51350] processed, ingested=5252, skipped=18, already_present=830
[06125/51350] processed, ingested=5277, skipped=18, already_present=830
[06150/51350] processed, ingested=5301, skipped=19, already_present=830
[06175/51350] processed, ingested=5326, skipped=19, already_present=830
[06200/51350] processed, ingested=5351, skipped=19, already_present=830
[06225/51350] processed, ingested=5376, skipped=19, already_present=830
[06250/51350] processed, ingested=5401, skipped=19, already_present=830
[06275/51350] processed, ingested=5426, skipped=19, already_present=830
[06300/51350] processed, ingested=5451, skipped=19, already_present=830
[06325/51350] processed, ingested=5476, skipped=19, already_present=830
[06350/51350] processed, ingested=5501, skipped=19, already_present=830
[06375/51350] processed, ingested=5526, skipped=19, already_present=830
[06400/51350] processed, ingested=5551, skipped=19, already_present=830
[06425/51350] processed, ingested=5576, skipped=19, already_present=830
[06450/51350] processed, ingested=5601, skipped=19, already_present=830
[06475/51350] processed, ingested=5626, skipped=19, already_present=830
[06500/51350] processed, ingested=5651, skipped=19, already_present=830
[06525/51350] processed, ingested=5676, skipped=19, already_present=830
[06550/51350] processed, ingested=5701, skipped=19, already_present=830
[06575/51350] processed, ingested=5726, skipped=19, already_present=830
[06600/51350] processed, ingested=5751, skipped=19, already_present=830
[06625/51350] processed, ingested=5776, skipped=19, already_present=830
[06650/51350] processed, ingested=5800, skipped=19, already_present=831
[06675/51350] processed, ingested=5825, skipped=19, already_present=831
[06700/51350] processed, ingested=5850, skipped=19, already_present=831
[06725/51350] processed, ingested=5875, skipped=19, already_present=831
[06750/51350] processed, ingested=5900, skipped=19, already_present=831
[06775/51350] processed, ingested=5925, skipped=19, already_present=831
[06800/51350] processed, ingested=5950, skipped=19, already_present=831
[06825/51350] processed, ingested=5975, skipped=19, already_present=831
[06850/51350] processed, ingested=6000, skipped=19, already_present=831
[06875/51350] processed, ingested=6025, skipped=19, already_present=831
[06900/51350] processed, ingested=6050, skipped=19, already_present=831
[06925/51350] processed, ingested=6075, skipped=19, already_present=831
[06950/51350] processed, ingested=6100, skipped=19, already_present=831
[06975/51350] processed, ingested=6125, skipped=19, already_present=831
[07000/51350] processed, ingested=6150, skipped=19, already_present=831
[07025/51350] processed, ingested=6175, skipped=19, already_present=831
[07050/51350] processed, ingested=6200, skipped=19, already_present=831
[07075/51350] processed, ingested=6225, skipped=19, already_present=831
[07100/51350] processed, ingested=6250, skipped=19, already_present=831
[07125/51350] processed, ingested=6275, skipped=19, already_present=831
[07150/51350] processed, ingested=6300, skipped=19, already_present=831
[07175/51350] processed, ingested=6325, skipped=19, already_present=831
[07200/51350] processed, ingested=6350, skipped=19, already_present=831
[07225/51350] processed, ingested=6375, skipped=19, already_present=831
[07250/51350] processed, ingested=6400, skipped=19, already_present=831
[07275/51350] processed, ingested=6425, skipped=19, already_present=831
[07300/51350] processed, ingested=6450, skipped=19, already_present=831
[07325/51350] processed, ingested=6475, skipped=19, already_present=831
[07350/51350] processed, ingested=6500, skipped=19, already_present=831
[07375/51350] processed, ingested=6525, skipped=19, already_present=831
[07400/51350] processed, ingested=6550, skipped=19, already_present=831
[07425/51350] processed, ingested=6575, skipped=19, already_present=831
[07450/51350] processed, ingested=6600, skipped=19, already_present=831
[07475/51350] processed, ingested=6625, skipped=19, already_present=831
[07500/51350] processed, ingested=6650, skipped=19, already_present=831
[07525/51350] processed, ingested=6675, skipped=19, already_present=831
[07550/51350] processed, ingested=6700, skipped=19, already_present=831
[07575/51350] processed, ingested=6725, skipped=19, already_present=831
[07600/51350] processed, ingested=6750, skipped=19, already_present=831
[07625/51350] processed, ingested=6775, skipped=19, already_present=831
[07650/51350] processed, ingested=6800, skipped=19, already_present=831
[07675/51350] processed, ingested=6825, skipped=19, already_present=831
[07700/51350] processed, ingested=6850, skipped=19, already_present=831
[07725/51350] processed, ingested=6875, skipped=19, already_present=831
[07750/51350] processed, ingested=6900, skipped=19, already_present=831
[07775/51350] processed, ingested=6925, skipped=19, already_present=831
[07800/51350] processed, ingested=6950, skipped=19, already_present=831
[07825/51350] processed, ingested=6975, skipped=19, already_present=831
[07850/51350] processed, ingested=7000, skipped=19, already_present=831
[07875/51350] processed, ingested=7025, skipped=19, already_present=831
[07900/51350] processed, ingested=7050, skipped=19, already_present=831
[07925/51350] processed, ingested=7074, skipped=19, already_present=832
[07950/51350] processed, ingested=7099, skipped=19, already_present=832
[07975/51350] processed, ingested=7124, skipped=19, already_present=832
[08000/51350] processed, ingested=7147, skipped=19, already_present=834
[08025/51350] processed, ingested=7172, skipped=19, already_present=834
[08050/51350] processed, ingested=7197, skipped=19, already_present=834
[08075/51350] processed, ingested=7222, skipped=19, already_present=834
[08100/51350] processed, ingested=7247, skipped=19, already_present=834
[08125/51350] processed, ingested=7272, skipped=19, already_present=834
[08150/51350] processed, ingested=7297, skipped=19, already_present=834
[08175/51350] processed, ingested=7322, skipped=19, already_present=834
[08200/51350] processed, ingested=7347, skipped=19, already_present=834
[08225/51350] processed, ingested=7372, skipped=19, already_present=834
[08250/51350] processed, ingested=7397, skipped=19, already_present=834
[08275/51350] processed, ingested=7422, skipped=19, already_present=834
[08300/51350] processed, ingested=7447, skipped=19, already_present=834
[08325/51350] processed, ingested=7472, skipped=19, already_present=834
[08350/51350] processed, ingested=7497, skipped=19, already_present=834
[08375/51350] processed, ingested=7522, skipped=19, already_present=834
[08400/51350] processed, ingested=7547, skipped=19, already_present=834
[08425/51350] processed, ingested=7572, skipped=19, already_present=834
[08450/51350] processed, ingested=7597, skipped=19, already_present=834
[08475/51350] processed, ingested=7622, skipped=19, already_present=834
[08500/51350] processed, ingested=7647, skipped=19, already_present=834
[08525/51350] processed, ingested=7672, skipped=19, already_present=834
[08550/51350] processed, ingested=7697, skipped=19, already_present=834
[08575/51350] processed, ingested=7722, skipped=19, already_present=834
[08600/51350] processed, ingested=7747, skipped=19, already_present=834
[08625/51350] processed, ingested=7772, skipped=19, already_present=834
[08650/51350] processed, ingested=7797, skipped=19, already_present=834
[08675/51350] processed, ingested=7822, skipped=19, already_present=834
[08700/51350] processed, ingested=7847, skipped=19, already_present=834
[08725/51350] processed, ingested=7872, skipped=19, already_present=834
[08750/51350] processed, ingested=7897, skipped=19, already_present=834
[08775/51350] processed, ingested=7921, skipped=20, already_present=834
